MACRO;UF;REGIAO_TURISTICA;MUNICIPIO;COD_IBGE;QUANTIDADE_EMPREGOS;QUANTIDADE_ESTABELECIMENTOS;QUANTIDADE_VISITAS_ESTIMADAS_INTERNACIONAL;QUANTIDADE_VISITAS_ESTIMADAS_NACIONAL;ARRECADACAO;CLUSTER
Sul;SC;Vale dos Imigrantes;Tangará;4217907;0;0;182;6.848; R$ -   ;D
Sul;RS;Rota Missões;Cerro Largo;4305207;11;2;389;8.236; R$ -   ;D
Sul;RS;Cultura e Tradição;Ernestina;4307054;0;0;0;8.236; R$ -   ;D
Sul;RS;Alto da Serra do Botucaraí;Fontoura Xavier;4308300;26;2;0;3.026; R$ -   ;D
Sul;RS;Vale do Jaguarí;Jaguari;4311106;0;0;0;2.236; R$ -   ;D
Sul;RS;Rota do Yucumã;Jóia;4311155;0;0;0;3.026; R$ -   ;D
Sul;RS;Rota do Yucumã;Miraguaí;4312302;0;0;0;14.888; R$ -   ;D
Sul;RS;Rota Águas e Pedras;Palmitinho;4313805;7;2;0;8.236; R$ -   ;D
Sul;RS;Fronteira;Quaraí;4315305;28;3;366;2.236; R$ -   ;D
Sul;RS;Rota das Araucárias;Tapejara;4320909;24;4;913;10.496; R$ -   ;D
Sul;RS;Rota Águas e Pedras;Taquaruçu do Sul;4321329;0;0;0;14.888; R$ -   ;D
Nordeste;RN;Polo Agreste/Trairi;São Bento do Trairí;2411700;0;0;0;0; R$ -   ;E
Nordeste;SE;Polo dos Tabuleiros;Muribeca;2804300;0;0;0;0; R$ -   ;E
Nordeste;SE;Polo Velho Chico;Japoatã;2803401;0;0;0;15.358; R$ -   ;D
Sudeste;SP;Alta Mogiana;Cássia dos Coqueiros;3510906;4;1;0;0; R$ -   ;D
Sudeste;SP;Caminhos da Mogiana;Cravinhos;3513108;30;3;188;6.316; R$ -   ;D
Sudeste;SP;TRILHOS E TRILHAS DA BAIXAMOGIANA;Engenheiro Coelho;3515152;5;1;91;0; R$ -   ;D
Sudeste;SP;Angra Doce Paulista;Fartura;3515400;20;2;174;6.316; R$ -   ;D
Sudeste;SP;Caminhos da Mogiana;Guariba;3518602;17;2;285;17.379; R$ -   ;D
Sudeste;SP;Angra Doce Paulista;Itaporanga;3522802;1;1;124;0; R$ -   ;D
Sudeste;SP;Entre Rios, Serras  e Cafés.;Itobi;3523800;3;2;0;41.116; R$ -   ;D
Sudeste;SP;Coração do Tietê;Promissão;3541604;24;2;182;4.903; R$ -   ;D
Sudeste;SP;Caminhos da Mogiana;Santa Rosa de Viterbo;3547601;5;1;0;41.116; R$ -   ;D
Sudeste;SP;Entre Rios, Serras  e Cafés.;São Sebastião da Grama;3550803;4;2;448;0; R$ -   ;D
Sudeste;SP;Águas Sertanejas;Tabapuã;3552601;1;1;170;0; R$ -   ;D
Sudeste;SP;Angra Doce Paulista;Chavantes;3557204;0;0;0;2.681; R$ -   ;D
Sul;SC;Grande Oeste;São Domingos;4216107;6;1;0;0; R$ -   ;D
Sul;MS;Caminho dos Ipês;Terenos;5008008;1;1;121;9.418; R$ -   ;D
Norte;TO;Lagos e Praias do Cantão;Pium;1717503;0;0;0;0; R$ -   ;E
Norte;TO;Bico do Papagaio;São Sebastião do Tocantins;1720309;0;0;0;0; R$ -   ;E
Sudeste;SP;Rios do Vale;Paraibuna;3535606;11;3;0;35.941; R$ -   ;D
Sudeste;SP;entre serras e aguas;Pedra Bela;3536802;0;1;0;0; R$ -   ;D
Sudeste;SP;Fé;Piquete;3538501;2;1;0;0; R$ -   ;D
Sudeste;SP;Caminhos da Mogiana;Pontal;3540200;0;0;373;0; R$ -   ;D
Sudeste;SP;Raízes do Interior Paulista;Porangaba;3540507;0;0;0;19.140; R$ -   ;D
Sudeste;SP;Caminhos do São Domingos;Santa Adélia;3545605;5;2;0;13.569; R$ -   ;D
Sudeste;SP;Rios do Vale;Santa Branca;3546009;3;1;126;0; R$ -   ;D
Sudeste;SP;Serra do Itaqueri;Santa Maria da Serra;3547007;0;0;120;0; R$ -   ;D
Sudeste;SP;MANTIQUEIRA PAULISTA;Tremembé;3554805;5;2;170;0; R$ -   ;D
Sul;PR;Rotas do Pinhão;Fazenda Rio Grande;4107652;29;4;0;0; R$ -   ;D
Centro-Oeste;MT;Associação de Turismo da Região Circuito das Águas - Aturcira;Denise;5103452;1;1;75;3.499; R$ -   ;D
Centro-Oeste;GO;Região Turística dos Negócios e Tradições;Bela Vista de Goiás;5203302;6;2;116;3.064; R$ -   ;D
Sudeste;MG;Vale do Jequitinhonha;Bertópolis;3106606;0;0;60;0; R$ -   ;D
Sudeste;MG;Caminhos do Cerrado;Carmo do Paranaíba;3114303;9;2;341;18.428; R$ -   ;D
Sudeste;MG;Veredas do Paraopeba;Mateus Leme;3140704;38;4;0;0; R$ -   ;D
Sudeste;MG;Verde - Trilha dos Bandeirantes;Papagaios;3146909;4;3;188;0; R$ -   ;D
Sul;MS;Grande Dourados;Caarapó;5002407;25;4;0;9.928; R$ -   ;D
Centro-Oeste;MT;Região Turística  Pantanal Mato-Grossense;Porto Esperidião;5106828;11;2;207;0; R$ -   ;D
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Bom Jardim de Goiás;5203401;0;0;0;9.134; R$ -   ;D
Nordeste;CE;LITORAL LESTE;Pacajus;2309607;0;0;247;46.127; R$ -   ;D
Nordeste;PB;Trilhas dos Potiguaras ;Baía da Traição;2501401;11;5;465;12.987; R$ -   ;D
Nordeste;PB;Rota Sanhauá;Lucena;2508604;2;2;185;10.560; R$ -   ;D
Nordeste;PB;Rota Sanhauá;Santa Rita;2513703;19;2;0;2.292; R$ -   ;D
Nordeste;PE;ILHAS E LAGOS DO SÃO FRANCISCO;Belém do São Francisco;2601607;7;1;0;7.240; R$ -   ;D
Sudeste;MG;Grutas;Capim Branco;3112505;18;1;0;0; R$ -   ;D
Sudeste;MG;Trilhas do Rio Doce;Nacip Raydan;3144201;0;0;0;0; R$ -   ;D
Sudeste;ES;Imigrantes;Ibiraçu;3202504;0;0;338;6.543; R$ -   ;D
Sul;PR;Campos Gerais;Arapoti;4101606;25;4;291;30.721; R$ -   ;D
Sul;SC;VALE DAS ÁGUAS;Caibi;4203105;0;0;516;0; R$ -   ;D
Sul;RS;Rota Águas e Pedras;Alpestre;4300505;0;0;140;11.214; R$ -   ;D
Centro-Oeste;MT;Região Turística Vale do Juruena;Aripuanã;5101407;14;5;318;24.248; R$ -   ;D
Centro-Oeste;GO;Região Turística da Estrada de Ferro;Goiandira;5208509;0;0;0;5.373; R$ -   ;D
Centro-Oeste;GO;Região Turística Vale do Araguaia;Mundo Novo;5214051;6;2;0;0; R$ -   ;D
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Piranhas;5217203;11;2;120;6.312; R$ -   ;D
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Santa Rita do Araguaia;5219407;7;1;0;0; R$ -   ;D
Norte;TO;Encantos do Jalapao;Rio Sono;1718758;0;0;0;0; R$ -   ;E
Norte;AM;Polo Madeira;Borba;1300805;0;0;0;2.302; R$ -   ;D
Norte;AM;Polo Amazônico;Manaquiri;1302553;0;0;0;7.691; R$ -   ;D
Norte;AM;Polo Amazônico;Novo Airão;1303205;41;3;631;24.486; R$ -   ;D
Nordeste;AL;Agreste;Boca da Mata;2701001;2;1;0;0; R$ -   ;D
