MACRO;UF;REGIAO_TURISTICA;MUNICIPIO;COD_IBGE;QUANTIDADE_EMPREGOS;QUANTIDADE_ESTABELECIMENTOS;QUANTIDADE_VISITAS_ESTIMADAS_INTERNACIONAL;QUANTIDADE_VISITAS_ESTIMADAS_NACIONAL;ARRECADACAO;CLUSTER
Sul;PR;Norte Pioneiro;Bandeirantes;4102406;24;4;268;0; R$ -   ;D
Sul;PR;Riquezas do Oeste;Cafelândia;4103453;8;1;91;0; R$ -   ;D
Sul;PR;Rotas do Pinhão;Campo do Tenente;4104105;0;0;0;2.473; R$ -   ;D
Sul;PR;Campos Gerais;Carambeí;4104659;18;2;309;3.352; R$ -   ;D
Sul;PR;Norte Pioneiro;Carlópolis;4104709;9;2;232;3.352; R$ -   ;D
Sul;PR;Vales do Iguaçu;Chopinzinho;4105409;4;2;64;21.611; R$ -   ;D
Sul;PR;Corredores das Águas;Cidade Gaúcha;4105607;2;1;120;1.401; R$ -   ;D
Sul;PR;Riquezas do Oeste;Corbélia;4106308;6;2;0;0; R$ -   ;D
Sul;PR;Vales do Iguaçu;Coronel Vivida;4106506;16;3;296;4.657; R$ -   ;D
Sul;PR;Vales do Iguaçu;Cruzeiro do Iguaçu;4106571;0;0;0;9.881; R$ -   ;D
Sul;PR;Terra dos Pinheirais;Fernandes Pinheiro;4107736;42;2;258;17.011; R$ -   ;D
Sul;PR;Litoral do Paraná;Guaraqueçaba;4109500;4;3;376;7.375; R$ -   ;D
Sul;PR;Corredores das Águas;Iporã;4110607;22;3;91;0; R$ -   ;D
Sul;PR;Terra dos Pinheirais;Mallet;4113908;46;1;0;4.945; R$ -   ;D
Sul;PR;Rotas do Pinhão;Mandirituba;4114302;1;1;0;3.352; R$ -   ;D
Sul;PR;Cataratas do Iguaçu e Caminhos ao Lago de Itaipu;Medianeira;4115804;19;4;4.244;1.305; R$ -   ;D
Sul;PR;Ecoaventuras, Histórias e Sabores;Moreira Sales;4116109;2;1;0;0; R$ -   ;D
Sul;PR;Vales do Iguaçu;Nova Prata do Iguaçu;4117255;1;1;0;4.142; R$ -   ;D
Sul;PR;Campos Gerais;Ortigueira;4117305;13;3;0;20.363; R$ -   ;D
Sul;PR;Rotas do Pinhão;Pinhais;4119152;5;3;0;0; R$ -   ;D
Sul;PR;Rotas do Pinhão;Piraquara;4119509;52;2;0;0; R$ -   ;D
Sul;PR;Norte Pioneiro;Ribeirão Claro;4121802;3;1;111;2.350; R$ -   ;D
Sul;PR;Norte do Paraná;Rolândia;4122404;23;2;553;25.587; R$ -   ;D
Sul;PR;Corredores das Águas;Santa Isabel do Ivaí;4123709;5;1;231;0; R$ -   ;D
Sul;PR;Norte Pioneiro;Santa Mariana;4123907;2;1;75;0; R$ -   ;D
Sul;PR;Vale do Ivaí;São João do Ivaí;4125001;8;1;0;27.937; R$ -   ;D
Sul;PR;Cataratas do Iguaçu e Caminhos ao Lago de Itaipu;São Miguel do Iguaçu;4125704;15;5;3.409;25.492; R$ -   ;D
Sul;PR;Corredores das Águas;São Pedro do Paraná;4125902;0;0;241;0; R$ -   ;D
Sul;PR;Norte do Paraná;Sapopema;4126207;0;1;0;0; R$ -   ;D
Sul;PR;Campos Gerais;Sengés;4126306;9;1;0;0; R$ -   ;D
Sul;PR;Norte do Paraná;Sertaneja;4126405;1;1;0;0; R$ -   ;D
Sul;PR;Norte Pioneiro;Siqueira Campos;4126603;16;3;141;5.282; R$ -   ;D
Sul;PR;Corredores das Águas;Terra Rica;4127304;10;2;0;7.956; R$ -   ;D
Sul;PR;Norte Pioneiro;Tomazina;4127809;6;2;112;0; R$ -   ;D
Sul;SC;Grande Florianópolis;Antônio Carlos;4201208;0;1;0;0; R$ -   ;D
Sul;SC;Vale Europeu;Benedito Novo;4202206;3;1;0;0; R$ -   ;D
Sul;SC;Serra Catarinense;Bom Retiro;4202602;1;1;597;0; R$ -   ;D
Sul;SC;Caminhos do Alto Vale;Braço do Trombudo;4202859;0;0;0;0; R$ -   ;D
Sul;SC;Vale dos Imigrantes;Celso Ramos;4204152;0;0;9.305;9.361; R$ -   ;D
Sul;SC;VALE DAS ÁGUAS;Cunha Porã;4204707;2;1;0;0; R$ -   ;D
Sul;SC;Encantos do Sul SC;Forquilhinha;4205456;22;2;91;0; R$ -   ;D
Sul;SC;Caminho dos Príncipes;Garuva;4205803;20;5;75;0; R$ -   ;D
Sul;SC;Costa Verde & Mar;Ilhota;4207106;6;1;0;14.569; R$ -   ;D
Sul;SC;Caminho dos Canyons;Jacinto Machado;4208708;3;1;0;2.236; R$ -   ;D
Sul;SC;Grande Oeste;Lindóia do Sul;4209854;0;0;0;2.260; R$ -   ;D
Sul;SC;Caminhos do Contestado;Mafra;4210100;48;4;347;10.515; R$ -   ;D
Sul;SC;Serra Catarinense;Palmeira;4212056;0;0;170;0; R$ -   ;D
Sul;SC;Grande Florianópolis;Rancho Queimado;4214300;8;2;0;1.773; R$ -   ;D
Sul;SC;Caminhos do Alto Vale;Salete;4215307;6;1;0;30.471; R$ -   ;D
Sul;SC;Encantos do Sul SC;Siderópolis;4217600;1;1;250;0; R$ -   ;D
Sul;SC;Caminhos do Alto Vale;Trombudo Central;4218608;0;0;0;19.256; R$ -   ;D
Sul;SC;Caminho dos Canyons;Turvo;4218806;8;2;0;0; R$ -   ;D
Sul;RS;Rota Águas e Pedras;Ametista do Sul;4300646;11;3;0;11.214; R$ -   ;D
Sul;RS;Termas e Lagos;Aratiba;4300901;5;1;121;0; R$ -   ;D
Sul;RS;Rota do Yucumã;Augusto Pestana;4301503;2;1;0;1.683; R$ -   ;D
Sul;RS;Campos de Cima da Serra;Bom Jesus;4302303;8;2;0;0; R$ -   ;D
Sul;RS;Rota do Yucumã;Bozano;4302584;0;0;0;2.260; R$ -   ;D
Sul;RS;Uva e Vinho;Carlos Barbosa;4304804;9;2;91;22.930; R$ -   ;D
Sul;RS;Carbonífera;Charqueadas;4305355;9;3;118;8.553; R$ -   ;D
Sul;RS;Rota do Yucumã;Crissiumal;4306007;4;3;303;10.363; R$ -   ;D
Sul;RS;Costa Doce;Cristal;4306056;2;1;1.466;0; R$ -   ;D
Sul;RS;Rota do Yucumã;Derrubadas;4306320;8;1;258;0; R$ -   ;D
Sul;RS;Vale do Rio Pardo;Encruzilhada do Sul;4306908;12;4;0;23.124; R$ -   ;D
Sul;RS;Vale do Taquari;Estrela;4307807;12;2;731;33.899; R$ -   ;D
Sul;RS;Centro-Serra;Estrela Velha;4307815;0;0;100;0; R$ -   ;D
Sul;RS;Central;Faxinal do Soturno;4308003;6;2;0;0; R$ -   ;D
Sul;RS;Rota das Terras Encantadas;Fortaleza dos Valos;4308458;0;0;328;0; R$ -   ;D
Sul;RS;Rota Missões;Giruá;4309001;9;1;242;728; R$ -   ;D
Sul;RS;Vale da Felicidade;Harmonia;4309555;0;0;0;2.236; R$ -   ;D
Sul;RS;Rota do Rio Uruguai;Horizontina;4309605;32;4;210;9.881; R$ -   ;D
Sul;RS;Rota das Terras Encantadas;Ibirubá;4310009;20;6;77;0; R$ -   ;D
Sul;RS;Rota Águas e Pedras;Iraí;4310504;35;5;0;0; R$ -   ;D
Sul;RS;Central;Itaara;4310538;0;0;0;0; R$ -   ;D
Sul;RS;Termas e Lagos;Mariano Moro;4312005;0;0;121;11.214; R$ -   ;D
Sul;RS;Rota Águas e Pedras;Nonoai;4312708;11;4;0;26.159; R$ -   ;D
Sul;RS;Uva e Vinho;Nova Pádua;4313086;1;1;143;0; R$ -   ;D
Sul;RS;Rota do Rio Uruguai;Novo Machado;4313425;0;0;0;520; R$ -   ;D
Sul;RS;Cultura e Tradição;Ronda Alta;4316105;1;1;72;0; R$ -   ;D
Sul;RS;Vale do Jaguarí;São Francisco de Assis;4318101;1;1;874;2.236; R$ -   ;D
Sul;RS;Costa Doce;São José do Norte;4318507;2;3;366;0; R$ -   ;D
Sul;RS;Campos de Cima da Serra;São José dos Ausentes;4318622;5;4;2.080;1.125; R$ -   ;D
Sul;RS;Vale da Felicidade;São Sebastião do Caí;4319505;7;1;200;2.236; R$ -   ;D
Sul;RS;Central;São Sepé;4319604;19;2;731;30.113; R$ -   ;D
Sul;RS;Rota Águas e Pedras;Seberi;4320206;5;2;0;0; R$ -   ;D
Sul;RS;Rota das Terras Encantadas;Selbach;4320305;1;1;0;24.956; R$ -   ;D
Sul;RS;Termas e Lagos;Severiano de Almeida;4320602;4;1;0;0; R$ -   ;D
Sul;RS;Centro-Serra;Sobradinho;4320701;9;3;91;0; R$ -   ;D
Sul;RS;Costa Doce;Tapes;4321105;16;3;0;5.584; R$ -   ;D
Sul;RS;Vale do Paranhana;Taquara;4321204;17;1;276;10.601; R$ -   ;D
Sul;RS;Vale do Taquari;Teutônia;4321451;17;4;0;14.973; R$ -   ;D
Sul;RS;Vale do Paranhana;Três Coroas;4321709;15;5;128;0; R$ -   ;D
Sul;RS;Rota do Rio Uruguai;Tuparendi;4322301;0;0;0;0; R$ -   ;D
Sul;RS;Vale do Rio Pardo;Venâncio Aires;4322608;27;4;963;8.236; R$ -   ;D
Sul;RS;Uva e Vinho;Vila Flores;4323309;0;0;0;0; R$ -   ;D
Sul;MS;Caminho dos Ipês;Jaraguari;5004908;1;1;0;4.709; R$ -   ;D
Sul;MS;Vale das Águas;Jateí;5005103;0;0;0;2.350; R$ -   ;D
Sul;MS;Bonito / Serra da Bodoquena;Nioaque;5005806;3;2;0;29.391; R$ -   ;D
Centro-Oeste;MT;Região Turística das Nascentes;Barra do Bugres;5101704;25;2;381;11.547; R$ -   ;D
Centro-Oeste;MT;Região Turística Portal do Agronegócio;Cláudia;5103056;6;4;0;8.042; R$ -   ;D
Centro-Oeste;MT;Região Turística Portal do Araguaia;Cocalinho;5103106;3;2;0;11.772; R$ -   ;D
Centro-Oeste;MT;Região Turística Domo de Araguainha;Guiratinga;5104203;9;3;0;5.839; R$ -   ;D
Centro-Oeste;MT;Região Turística Vale do Juruena;Juruena;5105176;9;2;0;0; R$ -   ;D
Centro-Oeste;MT;Região Turística Vale do São Lourenço;Juscimeira;5105200;28;3;0;284; R$ -   ;D
Centro-Oeste;MT;Região Turística Vale do Cabaçal;Lambari d'Oeste;5105234;2;1;0;4.903; R$ -   ;D
Centro-Oeste;MT;Região Turística Portal do Agronegócio;Nova Ubiratã;5106240;4;2;0;0; R$ -   ;D
Centro-Oeste;MT;Região Turística Portal da Amazônia;Novo Mundo;5106265;3;1;0;0; R$ -   ;D
Centro-Oeste;MT;Região Turística Rota dos Ipês e das Águas;Pedra Preta;5106372;16;3;0;0; R$ -   ;D
Centro-Oeste;MT;Região Turística Norte Araguaia;Porto Alegre do Norte;5106778;3;2;1.758;22.788; R$ -   ;D
Centro-Oeste;MT;Região Turística Portal do Agronegócio;Porto dos Gaúchos;5106802;2;1;0;0; R$ -   ;D
Centro-Oeste;MT;Região Turística Vale do Cabaçal;Rio Branco;5107206;0;0;64;0; R$ -   ;D
Centro-Oeste;MT;Região Turística Portal do Agronegócio;Santa Carmem;5107248;0;0;0;0; R$ -   ;D
Centro-Oeste;MT;Associação de Turismo da Região Circuito das Águas - Aturcira;São José do Rio Claro;5107305;17;4;182;11.603; R$ -   ;D
Centro-Oeste;MT;Associação de Turismo da Região Circuito das Águas - Aturcira;Rosário Oeste;5107701;8;2;207;8.879; R$ -   ;D
Centro-Oeste;MT;Região Turística Domo de Araguainha;Tesouro;5108105;1;1;0;0; R$ -   ;D
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Aurilândia;5202601;0;0;0;2.591; R$ -   ;D
Centro-Oeste;GO;Região Turística Lagos do Paranaíba;Cachoeira Dourada;5204250;0;0;0;6.951; R$ -   ;D
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Chapadão do Céu;5205471;24;5;258;16.903; R$ -   ;D
Centro-Oeste;GO;Região Turística do Ouro e Cristais;Corumbá de Goiás;5205802;13;2;102;39.753; R$ -   ;D
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Jandaia;5211701;1;1;0;2.591; R$ -   ;D
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Perolândia;5216452;0;0;126;0; R$ -   ;D
Sudeste;MG;Serra do Brigadeiro;Antônio Prado de Minas;3103108;0;0;0;0; R$ -   ;E
Sudeste;MG;Mata Atlântica de Minas;Ipaba;3131158;0;0;0;0; R$ -   ;E
Sul;RS;Vale Germânico;Araricá;4300877;0;0;0;0; R$ -   ;E
Norte;TO;Lagos e Praias do Cantão;Marianópolis do Tocantins;1712504;0;0;0;0; R$ -   ;E
Nordeste;SE;Polo Serras Sergipanas;Ribeirópolis;2806008;0;0;0;0; R$ -   ;E
Sudeste;MG;Serras e Cachoeiras;Dona Eusébia;3122900;0;0;0;0; R$ -   ;E
Sudeste;MG;Serras e Cachoeiras;Itamarati de Minas;3132602;0;0;0;0; R$ -   ;E
Sudeste;MG;Pico da Bandeira;Martins Soares;3140530;0;0;0;0; R$ -   ;E
Sudeste;RJ;CAMINHOS DA SERRA;Sumidouro;3305703;0;0;0;0; R$ -   ;E
Sudeste;SP;Alta Mogiana;Santa Cruz da Esperança;3546256;0;0;0;0; R$ -   ;E
Nordeste;PB;Vale dos Dinossauros;Poço de José de Moura;2512077;0;0;0;0; R$ -   ;E
Sudeste;MG;Vale do Jequitinhonha;Materlândia;3140605;0;0;0;0; R$ -   ;E
Sudeste;MG;Lago de Irapé;Novorizonte;3145372;0;0;0;0; R$ -   ;E
Sudeste;MG;Pedras Preciosas;Serra dos Aimorés;3166709;0;0;0;0; R$ -   ;E
Sul;PR;Corredores das Águas;Francisco Alves;4108320;0;0;0;0; R$ -   ;E
Sul;PR;Vales do Iguaçu;Salgado Filho;4122800;0;0;0;0; R$ -   ;E
Sudeste;MG;Veredas do Paraopeba;Desterro de Entre Rios;3121407;0;0;0;0; R$ -   ;E
Sudeste;MG;Trilhas do Rio Doce;Frei Lagonegro;3126950;0;0;0;0; R$ -   ;E
Sudeste;MG;Pedras Preciosas;Novo Oriente de Minas;3145356;0;0;0;0; R$ -   ;E
Centro-Oeste;MT;Região Turística Portal do Agronegócio;Novo Horizonte do Norte;5106273;0;0;0;0; R$ -   ;E
Nordeste;PB;Vale dos Sertões;Santana dos Garrotes;2513604;0;0;0;0; R$ -   ;E
Nordeste;PB;Brejo;Serra da Raiz;2515609;0;0;0;0; R$ -   ;E
Sudeste;MG;Trilhas do Rio Doce;Capitão Andrade;3112653;0;0;0;0; R$ -   ;E
Sudeste;RJ;COSTA DO SOL;Carapebus;3300936;0;0;0;0; R$ -   ;E
Sudeste;RJ;ÁGUAS DO NOROESTE;Varre-Sai;3306156;0;0;0;0; R$ -   ;E
Sul;SC;Caminhos do Alto Vale;Petrolândia;4212700;0;0;0;0; R$ -   ;E
Nordeste;AL;Quilombos;São José da Laje;2708303;0;0;0;0; R$ -   ;E
Sudeste;ES;Montanhas Capixabas;Conceição do Castelo;3201704;0;0;0;0; R$ -   ;E
Sudeste;SP;Fé;Potim;3540754;0;0;0;0; R$ -   ;E
Sudeste;SP;Rios do Vale;Jambeiro;3524907;0;0;0;0; R$ -   ;E
Sul;RS;Uva e Vinho;Protásio Alves;4315172;0;0;0;0; R$ -   ;E
Sul;RS;Vale do Rio Pardo;Vale Verde;4322525;0;0;0;0; R$ -   ;E
Sudeste;MG;Serras e Cachoeiras;Estrela Dalva;3124609;0;0;0;0; R$ -   ;E
Sul;RS;Vale do Taquari;Vespasiano Correa;4322855;0;0;0;0; R$ -   ;E
Sudeste;SP;Pólo Turístico Cuesta;Pratânia;3541059;0;0;0;0; R$ -   ;E
Centro-Oeste;GO;Região Turística da Estrada de Ferro;Leopoldo de Bulhões;5212303;0;0;0;0; R$ -   ;E
Sudeste;MG;Montanhas Cafeeiras de Minas;São Pedro da União;3163904;0;0;0;0; R$ -   ;E
Sudeste;MG;Serras Verdes do Sul de Minas;Senador Amaral;3165578;0;0;0;0; R$ -   ;E
Sudeste;SP;Serra do Itaqueri;Corumbataí;3512704;0;0;0;0; R$ -   ;E
Sul;PR;Corredores das Águas;Xambrê;4128807;0;0;0;0; R$ -   ;E
Sudeste;MG;Serra do Cabral;Claro dos Poções;3116506;0;0;0;0; R$ -   ;E
Sudeste;MG;Serra do Cabral;Joaquim Felício;3136405;0;0;0;0; R$ -   ;E
Sudeste;SP;Coração do Tietê;Pongaí;3540101;0;0;0;0; R$ -   ;E
Sul;SC;Encantos do Sul SC;Pedras Grandes;4212403;0;0;0;0; R$ -   ;E
Sul;SC;Caminho dos Canyons;Santa Rosa do Sul;4215653;0;0;0;0; R$ -   ;E
Sul;RS;Rota das Terras Encantadas;Saldanha Marinho;4316436;0;0;0;0; R$ -   ;E
Sul;RS;Rota das Terras Encantadas;Victor Graeff;4323200;0;0;0;0; R$ -   ;E
Nordeste;RN;Polo Serrano;Viçosa;2414902;0;0;0;0; R$ -   ;E
Sudeste;MG;Serras de Ibitipoca;Bias Fortes;3106804;0;0;0;0; R$ -   ;E
Sudeste;MG;Caminhos da Mantiqueira;Conceição das Pedras;3117207;0;0;0;0; R$ -   ;E
Sudeste;MG;Vale Verde e Quedas D'Água;Luminárias;3138708;0;0;0;0; R$ -   ;E
Sudeste;MG;Verde - Trilha dos Bandeirantes;Onça de Pitangui;3145802;0;0;0;0; R$ -   ;E
Sudeste;MG;Caminhos da Mantiqueira;Piranguçu;3150901;0;0;0;0; R$ -   ;E
Sul;PR;Norte do Paraná;Rancho Alegre;4121307;0;0;0;0; R$ -   ;E
Sul;SC;Vale dos Imigrantes;Alto Bela Vista;4200754;0;0;0;0; R$ -   ;E
Sul;SC;Caminhos do Alto Vale;Atalanta;4201802;0;0;0;0; R$ -   ;E
Sul;SC;Grande Oeste;Passos Maia;4212270;0;0;0;0; R$ -   ;E
Sul;SC;Grande Oeste;Vargeão;4219101;0;0;0;0; R$ -   ;E
Nordeste;BA;Caminhos do Sertão;Banzaê;2902658;0;0;0;0; R$ -   ;E
Sudeste;MG;Serras Verdes do Sul de Minas;Consolação;3118502;0;0;0;0; R$ -   ;E
Sudeste;MG;Lago de Irapé;Lagoa dos Patos;3137304;0;0;0;0; R$ -   ;E
Sudeste;ES;Caparaó;Divino de São Lourenço;3201803;0;0;0;0; R$ -   ;E
Sul;PR;Corredores das Águas;Nova Olímpia;4117206;0;0;0;0; R$ -   ;E
Sul;PR;Corredores das Águas;Santa Inês;4123600;0;0;0;0; R$ -   ;E
Sul;SC;Caminhos do Alto Vale;Agronômica;4200309;0;0;0;0; R$ -   ;E
Sul;SC;Grande Oeste;Guatambú;4206652;0;0;0;0; R$ -   ;E
Sul;RS;Rota do Rio Uruguai;Nova Candelária;4313011;0;0;0;0; R$ -   ;E
Nordeste;BA;Chapada Diamantina;Barra do Mendes;2903003;0;0;0;0; R$ -   ;E
Sul;PR;Ecoaventuras, Histórias e Sabores;Araruna;4101705;0;0;0;0; R$ -   ;E
Sul;RS;Termas e Lagos;Áurea;4301552;0;0;0;0; R$ -   ;E
Sul;RS;Rota do Rio Uruguai;Independência;4310405;0;0;0;0; R$ -   ;E
Sul;MS;Vale das Águas;Novo Horizonte do Sul;5006259;0;0;0;0; R$ -   ;E
Sul;SC;Encantos do Sul SC;Santa Rosa de Lima;4215604;0;0;0;0; R$ -   ;E
Sul;SC;Caminhos da Fronteira;Tunápolis;4218756;0;0;0;0; R$ -   ;E
Sul;RS;Vale do Taquari;Dois Lajeados;4306452;0;0;0;0; R$ -   ;E
Sul;RS;Central;Ivorá;4310751;0;0;0;0; R$ -   ;E
Sul;SC;Caminhos da Fronteira;Iraceminha;4207759;0;0;0;0; R$ -   ;E
Sul;RS;Rota do Yucumã;Barra do Guarita;4301859;0;0;0;0; R$ -   ;E
Sul;RS;Rota do Yucumã;Esperança do Sul;4307450;0;0;0;0; R$ -   ;E
Sul;RS;Centro-Serra;Ibarama;4309753;0;0;0;0; R$ -   ;E
Nordeste;PB;Vale dos Dinossauros;Monte Horebe;2509602;0;0;0;0; R$ -   ;E
Sudeste;SP;Centro Paulista;Gavião Peixoto;3516853;0;0;0;0; R$ -   ;E
Sudeste;SP;MARAVILHAS  DO RIO GRANDE;Meridiano;3529609;0;0;0;0; R$ -   ;E
Sudeste;SP;MARAVILHAS  DO RIO GRANDE;Populina;3540408;0;0;0;0; R$ -   ;E
Sudeste;SP;Sol do Oeste;Santo Expedito;3548302;0;0;0;0; R$ -   ;E
Sul;SC;Caminhos da Fronteira;Barra Bonita;4202099;0;0;0;0; R$ -   ;E
Sul;SC;VALE DAS ÁGUAS;Caxambu do Sul;4204103;0;0;0;0; R$ -   ;E
Sul;SC;Vale dos Imigrantes;Salto Veloso;4215406;0;0;0;0; R$ -   ;E
Sul;RS;Rota Águas e Pedras;Vista Alegre;4323507;0;0;0;0; R$ -   ;E
Nordeste;PE;SERRAS E ARTES DE PERNAMBUCO;Barra de Guabiraba;2601300;0;0;0;0; R$ -   ;E
Sudeste;MG;Pedras Preciosas;Angelândia;3102852;0;0;0;0; R$ -   ;E
Sudeste;MG;Pico da Bandeira;Santana do Manhuaçu;3158904;0;0;0;0; R$ -   ;E
Sudeste;MG;Trilhas do Rio Doce;São José do Divino;3163300;0;0;0;0; R$ -   ;E
Sudeste;SP;MARAVILHAS  DO RIO GRANDE;Macedônia;3528205;0;0;0;0; R$ -   ;E
Sudeste;SP;Águas do Oeste;Salmourão;3545100;0;0;0;0; R$ -   ;E
Sul;RS;Cultura e Tradição;Almirante Tamandaré do Sul;4300471;0;0;0;0; R$ -   ;E
Sul;RS;Fronteira;Santa Margarida do Sul;4316972;0;0;0;0; R$ -   ;E
Sudeste;MG;Malhas do Sul de Minas;Albertina;3101409;0;0;0;0; R$ -   ;E
Sudeste;MG;Veredas do Paraopeba;Bonfim;3108107;0;0;0;0; R$ -   ;E
Sudeste;MG;Pico da Bandeira;Caputira;3112901;0;0;0;0; R$ -   ;E
Sudeste;MG;Nascentes das Gerais e Canastra;Claraval;3116407;0;0;0;0; R$ -   ;E
Sudeste;MG;Serra do Cipó;Congonhas do Norte;3118106;0;0;0;0; R$ -   ;E
Sudeste;MG;Veredas do Paraopeba;Ibirité;3129806;0;0;0;0; R$ -   ;E
Sudeste;MG;Lago de Irapé;Leme do Prado;3138351;0;0;0;0; R$ -   ;E
Sudeste;MG;Montanhas e Fé;Pedra do Anta;3148806;0;0;0;0; R$ -   ;E
Centro-Oeste;GO;Região Turística do Ouro e Cristais;Campos Verdes;5204953;0;0;0;0; R$ -   ;E
Sudeste;MG;Pico da Bandeira;São Francisco do Glória;3161403;0;0;0;0; R$ -   ;E
Sudeste;MG;Diamantes;Serra Azul de Minas;3166501;0;0;0;0; R$ -   ;E
Sul;PR;Corredores das Águas;Esperança Nova;4107520;0;0;0;0; R$ -   ;E
Sul;RS;Rota do Rio Uruguai;Alegria;4300455;0;0;0;0; R$ -   ;E
Sul;RS;Termas e Lagos;Centenário;4305116;0;0;0;0; R$ -   ;E
Sul;RS;Rota do Yucumã;Inhacorá;4310413;0;0;0;0; R$ -   ;E
Sul;RS;Termas e Lagos;Itatiba do Sul;4310702;0;0;0;0; R$ -   ;E
Sul;RS;Campos de Cima da Serra;Monte Alegre dos Campos;4312377;0;0;0;0; R$ -   ;E
Sul;RS;Centro-Serra;Novo Cabrais;4313391;0;0;0;0; R$ -   ;E
Sul;RS;Vale do Taquari;Roca Sales;4315800;0;0;0;0; R$ -   ;E
Nordeste;PB;Agreste ;Fagundes;2506103;0;0;0;0; R$ -   ;E
Nordeste;SE;Polo Velho Chico;Amparo de São Francisco;2800100;0;0;0;0; R$ -   ;E
Sudeste;MG;Trilhas do Rio Doce;São José da Safira;3163003;0;0;0;0; R$ -   ;E
Sudeste;SP;Angra Doce Paulista;Canitar;3510153;0;0;0;0; R$ -   ;E
Nordeste;PI;Polo das Origens;Pajeú do Piauí;2207355;0;0;0;0; R$ -   ;E
Nordeste;PE;ILHAS E LAGOS DO SÃO FRANCISCO;Itacuruba;2607406;0;0;0;0; R$ -   ;E
Nordeste;PE;FÉ E ARTE;Paranatama;2610301;0;0;0;0; R$ -   ;E
Sul;RS;Fronteira;Barra do Quaraí;4301875;0;0;0;0; R$ -   ;E
Sul;RS;Vale da Felicidade;Brochier;4302659;0;0;0;0; R$ -   ;E
Sul;RS;Litoral Norte Gaúcho;Mampituba;4311734;0;0;0;0; R$ -   ;E
Sul;RS;Vale do Rio Pardo;Mato Leitão;4312153;0;0;0;0; R$ -   ;E
Sul;RS;Rota Águas e Pedras;Rio dos Índios;4315552;0;0;0;0; R$ -   ;E
Sul;RS;Uva e Vinho;Vila Maria;4323408;0;0;0;0; R$ -   ;E
Nordeste;PI;Polo Histórico Cultural;Acauã;2200053;0;0;0;0; R$ -   ;E
Sul;PR;Riquezas do Oeste;Santa Lúcia;4123824;0;0;0;0; R$ -   ;E
Sul;SC;Caminhos do Alto Vale;Chapadão do Lageado;4204194;0;0;0;0; R$ -   ;E
Sul;SC;Encantos do Sul SC;Grão Pará;4206108;0;0;0;0; R$ -   ;E
Sudeste;SP;MARAVILHAS  DO RIO GRANDE;Guarani d'Oeste;3518008;0;0;0;0; R$ -   ;E
Sul;SC;Vale dos Imigrantes;Abdon Batista;4200051;0;0;0;0; R$ -   ;E
Sul;SC;Caminho dos Canyons;Morro Grande;4211256;0;0;0;0; R$ -   ;E
Sul;SC;VALE DAS ÁGUAS;União do Oeste;4218855;0;0;0;0; R$ -   ;E
Sul;RS;Termas e Lagos;Três Arroios;4321634;0;0;0;0; R$ -   ;E
Nordeste;SE;Polo dos Tabuleiros;Santa Rosa de Lima;2806503;0;0;0;0; R$ -   ;E
Sudeste;SP;Bem Viver;Elias Fausto;3514908;0;0;0;0; R$ -   ;E
Sul;SC;Vale dos Imigrantes;Iomerê;4207577;0;0;0;0; R$ -   ;E
Sul;RS;Rota Missões;Vitória das Missões;4323754;0;0;0;0; R$ -   ;E
Sudeste;SP;MARAVILHAS  DO RIO GRANDE;Pedranópolis;3536901;0;0;0;0; R$ -   ;E
Sudeste;SP;Tietê Vivo;Piacatu;3537701;0;0;0;0; R$ -   ;E
Norte;AM;Polo Médio Solimões;Uarini;1304260;0;0;0;0; R$ -   ;E
Sudeste;MG;Caminhos Gerais;Carvalhópolis;3114709;0;0;0;0; R$ -   ;E
Sul;PR;Corredores das Águas;São Tomé;4126108;0;0;0;0; R$ -   ;E
Sul;RS;Rota das Terras Encantadas;Boa Vista do Cadeado;4302220;0;0;0;0; R$ -   ;E
Sudeste;MG;Serra do Brigadeiro;Rosário da Limeira;3156452;0;0;0;0; R$ -   ;E
Sul;RS;Rota do Yucumã;Humaitá;4309704;0;0;0;0; R$ -   ;E
Nordeste;AL;Região da Caatinga;Olho d'Água das Flores;2705705;0;0;0;0; R$ -   ;E
Nordeste;AL;Caminhos do São Francisco;Olho dÁgua do Casado;2705804;0;0;0;0; R$ -   ;E
Nordeste;BA;Baía de Todos os Santos;Aratuípe;2902302;0;0;0;0; R$ -   ;E
Nordeste;BA;Costa do Dendê;Igrapiúna;2913457;0;0;0;0; R$ -   ;E
Nordeste;BA;Baía de Todos os Santos;Muniz Ferreira;2922201;0;0;0;0; R$ -   ;E
Nordeste;BA;Chapada Diamantina;Quixabeira;2925931;0;0;0;0; R$ -   ;E
Sudeste;ES;Caparaó;Ibitirama;3202553;0;0;0;0; R$ -   ;E
Centro-Oeste;GO;Região Turística das Águas e Cavernas do Cerrado;Damianópolis;5206701;0;0;0;0; R$ -   ;E
Sul;RS;Vale do Taquari;Itapuca;4310579;0;0;0;0; R$ -   ;E
Sudeste;MG;Guimarães Rosa;Araçaí;3103207;0;0;0;0; R$ -   ;E
Sudeste;SP;Região Turística Histórias e Vales;Santa Cruz da Conceição;3546207;0;0;0;0; R$ -   ;E
